Date,ALL,AMZN,ADBE,AAP,AKAM,ADS,APH,AAPL,XRAY,GOOG,AES,AGN,COST,T,A,CAH,ABT,AFL,AIG,AMAT,ADM,BBY,CCL,DVN,MMM,MO,COF,AIV,KMX,AEE,ACN,APTV,CPRI,ARNC
3/25/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
3/4/2019,0.017,0.053,0.107,0.052,0.058,0.028,0.105,0.109,0.022,0.095,0.045,0.002,0.067,0.04,0.073,0.028,0.034,0.019,0.003,0.152,0.03,0.082,0.051,0.035,0.13,0.125,0.016,0.022,0.04,0.034,0.151,0.081,0.111,0.038
4/1/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
4/15/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
4/22/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
4/29/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
4/8/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
5/13/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
5/20/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
5/27/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
5/6/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
6/10/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
6/17/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
6/24/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
6/3/2019,0.019,0.061,0.103,0.052,0.065,0.032,0.109,0.115,0.022,0.089,0.044,0.004,0.072,0.039,0.072,0.027,0.037,0.019,0.003,0.136,0.027,0.095,0.049,0.026,0.107,0.119,0.017,0.02,0.041,0.034,0.151,0.075,0.103,0.043
7/1/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
7/15/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
7/22/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
7/29/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
7/8/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
8/12/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
8/19/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
8/26/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
8/5/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
9/16/2019,0.02,0.058,0.103,0.046,0.062,0.03,0.106,0.12,0.024,0.088,0.042,0.006,0.071,0.033,0.073,0.028,0.041,0.019,0.003,0.133,0.024,0.094,0.047,0.043,0.107,0.126,0.016,0.019,0.041,0.031,0.15,0.072,0.084,0.047
